,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 32,0,0,1,1,1,0,2,2
Ins 33,1,0,1,1,1,0,1,1
Ins 34,0,0,0,1,1,1,2,2
Ins 35,0,1,0,1,2,1,2,2
Ins 36,0,1,2,1,0,0,0,1
Ins 37,0,0,0,1,1,1,0,0
Ins 38,0,0,1,1,1,1,0,0
Ins 39,0,1,2,1,0,0,0,0
Ins 40,1,1,0,0,2,0,2,0
Ins 41,0,0,0,1,2,1,2,2
Ins 42,0,0,0,1,2,1,2,2
Ins 43,1,0,0,0,2,0,2,1
Ins 44,0,0,0,0,2,2,1,2
Ins 45,0,0,1,2,1,1,1,2
Ins 46,0,0,0,1,1,1,1,1
Ins 47,0,0,2,1,0,0,0,0
Ins 48,1,0,0,1,2,1,0,2
Ins 49,0,0,0,1,2,1,2,2
Ins 50,1,1,0,0,1,1,0,1
Ins 51,0,1,1,1,1,2,0,1
Ins 52,0,0,0,0,2,0,2,1
Ins 53,0,1,0,1,2,1,2,2
Ins 54,1,0,0,0,1,1,0,2
Ins 55,2,1,1,2,0,0,0,0
Ins 56,1,1,1,0,0,0,0,0
Ins 57,1,1,0,0,2,0,1,1
Ins 58,0,0,0,0,2,1,2,2
Ins 59,0,0,0,0,1,0,0,0
Ins 60,1,0,0,1,2,1,1,1
Ins 61,2,0,0,1,1,0,0,0
Ins 62,1,1,1,0,0,1,0,0
Ins 63,0,1,1,0,0,0,0,0
