,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,0,0,1,2,0,2,2,0
Ins 97,0,0,2,2,0,2,2,2
Ins 98,0,2,1,0,1,2,0,1
Ins 99,2,2,1,0,1,2,1,0
Ins 100,0,0,1,2,0,1,2,1
Ins 101,0,2,1,0,2,2,2,2
Ins 102,0,0,1,1,0,2,2,2
Ins 103,1,1,0,0,2,2,1,2
Ins 104,0,2,1,0,2,2,0,1
Ins 105,0,1,1,1,0,2,2,2
Ins 106,1,1,2,1,1,2,1,1
Ins 107,1,2,1,1,0,2,2,2
Ins 108,0,0,2,2,0,2,1,2
Ins 109,2,2,1,0,2,2,0,1
Ins 110,1,2,1,0,2,2,0,2
Ins 111,1,2,0,1,2,2,2,2
Ins 112,1,1,1,1,1,2,0,2
Ins 113,1,1,1,0,1,2,1,1
Ins 114,1,1,0,0,1,2,0,2
Ins 115,1,1,1,0,0,1,0,2
Ins 116,0,1,0,0,0,2,0,1
Ins 117,2,2,1,1,1,2,1,1
Ins 118,1,2,1,0,1,2,0,0
Ins 119,0,2,2,1,0,2,1,0
Ins 120,0,2,1,0,0,2,0,0
Ins 121,0,1,1,0,0,2,2,2
Ins 122,0,0,0,0,0,0,2,2
Ins 123,0,0,0,2,0,0,2,2
Ins 124,0,0,2,2,0,0,0,0
Ins 125,0,2,0,0,1,2,0,0
Ins 126,0,0,2,2,0,0,0,0
Ins 127,1,2,1,0,0,1,2,0
