,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 0,0,0,1,1,1,1,1,2
Ins 1,1,0,0,0,1,0,0,0
Ins 2,0,0,0,1,1,1,2,2
Ins 3,1,1,0,0,0,0,0,0
Ins 4,0,0,1,0,1,1,0,1
Ins 5,0,1,0,0,1,1,0,0
Ins 6,1,1,1,1,0,0,0,0
Ins 7,1,1,1,0,0,0,0,0
Ins 8,1,0,1,1,1,2,1,0
Ins 9,1,1,1,1,0,1,0,0
Ins 10,0,0,1,2,0,2,1,1
Ins 11,0,0,1,1,1,2,1,1
Ins 12,0,0,1,1,0,1,0,0
Ins 13,0,0,2,2,0,1,0,1
Ins 14,1,2,0,0,0,0,0,0
Ins 15,1,0,0,0,0,0,0,0
Ins 16,0,2,0,0,1,1,1,1
Ins 17,1,2,0,0,0,1,0,0
Ins 18,2,2,0,0,0,0,0,0
Ins 19,1,1,0,0,0,0,1,0
Ins 20,2,1,0,0,1,0,0,0
Ins 21,1,0,0,0,1,0,0,0
Ins 22,0,2,0,0,0,0,0,0
Ins 23,1,0,0,0,1,0,0,0
Ins 24,0,0,1,1,1,1,1,2
Ins 25,0,1,0,1,0,0,0,0
Ins 26,0,0,1,1,1,1,2,2
Ins 27,0,1,0,0,0,0,0,0
Ins 28,0,0,1,0,1,1,0,0
Ins 29,1,0,0,1,0,0,0,0
Ins 30,2,1,0,0,0,0,0,0
Ins 31,1,2,0,0,0,0,0,0
