,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 32,1,2,1,0,1,2,1,2
Ins 33,2,2,1,0,0,1,0,2
Ins 34,0,1,0,1,1,2,2,2
Ins 35,1,2,1,0,1,2,0,2
Ins 36,0,1,1,1,0,2,1,1
Ins 37,0,0,0,0,2,1,1,2
Ins 38,0,2,1,1,1,2,2,2
Ins 39,2,2,2,0,1,1,0,1
Ins 40,1,2,1,0,2,2,2,1
Ins 41,1,1,2,1,1,2,2,1
Ins 42,1,1,0,1,1,2,2,2
Ins 43,2,2,0,1,2,1,0,2
Ins 44,0,2,1,0,0,2,0,1
Ins 45,1,1,1,1,1,2,1,2
Ins 46,2,2,0,0,1,2,2,2
Ins 47,1,1,2,0,1,1,0,1
Ins 48,2,2,1,0,2,1,0,1
Ins 49,1,2,0,0,2,2,1,1
Ins 50,2,2,1,0,2,2,0,1
Ins 51,2,2,0,0,1,2,0,2
Ins 52,1,2,1,1,1,2,1,1
Ins 53,1,2,0,0,0,1,0,1
Ins 54,1,2,2,0,0,2,0,1
Ins 55,1,2,1,0,1,1,0,1
Ins 56,2,2,2,1,2,2,1,2
Ins 57,2,2,1,1,2,0,0,1
Ins 58,2,2,1,0,0,0,0,1
Ins 59,1,2,2,1,0,1,1,1
Ins 60,0,1,0,0,0,1,1,2
Ins 61,2,2,0,0,1,2,0,1
Ins 62,1,2,1,0,1,2,0,1
Ins 63,1,2,1,0,1,1,0,0
