,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,0,0,1,1,2,0,2,2
Ins 65,1,0,0,1,1,0,1,0
Ins 66,1,1,1,1,0,0,0,0
Ins 67,1,1,0,1,0,0,0,0
Ins 68,0,0,0,1,1,1,0,1
Ins 69,0,1,0,1,1,1,1,2
Ins 70,0,0,0,1,2,0,2,2
Ins 71,0,1,0,1,1,1,2,2
Ins 72,0,0,0,1,2,1,2,2
Ins 73,0,0,1,2,2,1,2,2
Ins 74,0,0,0,1,1,1,2,2
Ins 75,0,0,0,1,1,1,1,1
Ins 76,0,0,1,1,2,1,2,2
Ins 77,0,0,0,1,1,2,2,2
Ins 78,0,0,1,1,1,2,2,2
Ins 79,0,0,0,1,2,1,2,2
Ins 80,1,2,0,0,0,0,0,0
Ins 81,1,1,0,1,0,0,0,0
Ins 82,0,0,0,1,1,1,1,1
Ins 83,1,1,1,1,0,0,0,0
Ins 84,1,1,0,0,0,0,0,0
Ins 85,0,0,0,1,2,1,2,2
Ins 86,1,1,1,1,0,2,0,0
Ins 87,0,1,1,1,0,1,0,1
Ins 88,1,1,0,1,0,0,0,0
Ins 89,1,0,0,1,2,2,1,1
Ins 90,1,1,0,1,0,0,0,0
Ins 91,1,1,0,1,1,1,1,1
Ins 92,0,1,0,1,2,1,1,2
Ins 93,0,1,1,1,1,1,0,1
Ins 94,1,1,1,1,0,1,0,0
Ins 95,1,1,1,1,0,2,0,1
